# Vocabulary List
|#|ごい|Vocabulary|Type|Meaning|
|450|そろそろ|sorosoro|Adverb|gradually; soon|
|451|卒業|sotsugyou そつぎょう|Noun, Suru verb|graduation|
|452|相談|soudan そうだん|Noun, Suru verb|to discuss|
|453|素晴らしい|subarashii すばらしい|Adjective, い-adjective|wonderful|
|454|滑る|suberu すべる|Verb, Godan verb, Intransitive verb|to slide; to slip|
|455|凄い|sugoi すごい|Adjective, い-adjective|terrific|
|456|水道|suidou すいどう|Noun|water supply|
|457|水泳|suiei すいえい|Noun, Suru verb|swimming|
|458|すっかり|sukkari|Adverb|completely|
|459|空く|suku すく|Verb, Godan verb, Intransitive verb|to be hungry|
|460|スクリーン|sukuriin|Noun, Katakana|screen|
|461|隅|sumi すみ|Noun|corner; nook|
|462|済む|sumu すむ|Verb, Godan verb, Intransitive verb|to finish|
|463|砂|suna すな|Noun|sand|
|464|すり|suri|Noun|pickpocket|
|465|スーツケース|sustsukeesu|Noun, Katakana|suitcase|
|466|進む|susumu すすむ|Verb, Godan verb, Intransitive verb|to make progress|
|467|ステーキ|suteeki|Noun, Katakana|steak|
|468|ステレオ|sutereo|Noun, Katakana|stereo|
|469|捨てる|suteru すてる|Verb, Ichidan verb, Transitive verb|to throw away|
|470|数学|suugaku すうがく|Noun|mathematics; arithmetic|
|471|スーツ|suutsu|Noun, Katakana|suit|
|472|正しい|tadashii ただしい|Adjective, い-adjective|right; correct|
|473|退院|tai'in たいいん|Noun, Verb, Suru verb|leaving hospital; discharge from hospital|
|474|台風|taifuu たいふう|Noun|typhoon|
|475|タイプ|taipu|Noun|type,style|
|476|たいてい|taitei|Noun|, Adjective, な-adjective, Adverbusually|
|477|たまに|tamani|Adverb|occasionally|
|478|棚|tana たな|Noun|shelves|
|479|誕生|tanjou たんじょう|Noun, Suru verb|birth|
|480|楽しみ|tanoshimi たのしみ|Noun|, Adjective, な-adjectivelooking forward to​|
|481|倒れる|taoreru たおれる|Verb, Ichidan verb, Intransitive verb|to fall (over, down)|
|482|足りる|tariru たりる|Verb, Ichidan verb, Intransitive verb|to be sufficient; to be enough|
|483|足す|tasu たす|Verb, Godan verb, Transitive verb|to add (numbers / something)|
|484|畳|tatami たたみ|Noun|Japanese straw mat|
|485|建てる|tateru たてる|Verb, Ichidan verb, Transitive verb|to build|
|486|尋ねる|tazuneru たずねる|Verb, Ichidan verb, Transitive verb|to ask|
|487|訪ねる|tazuneru たずねる|Verb, Ichidan verb, Transitive verb|to visit|
|488|手袋|tebukuro てぶくろ|Noun|glove|
|489|丁寧|teinei ていねい|Noun|, Adjective, な-adjectivepolite|
|490|テキスト|tekisuto|Noun, Katakana|text; textbook|
|491|適当|tekitou てきとう|Noun|, Adjective, な-adjectivesuitable|
|492|点|ten てん|Noun|point; dot|
|493|店員|ten'in てんいん|Noun|employee (of a store); shop assistant; clerk|
|494|テニス|tenisu|Noun, Katakana|tennis|
|495|天気予報|tenkiyohou てんきよほう|Noun|weather forecast|
|496|展覧会|tenrankai てんらんかい|Noun|exhibition|
|497|寺|tera てら|Noun|temple|
|498|手伝う|tetsudau てつだう|Verb, Godan verb, Transitive verb|to help; to assist; to aid​|
|499|途中|tochuu とちゅう|Noun, Adverbial Noun|on the way|
|500|届ける|todokeru とどける|Verb, Ichidan verb, Transitive verb|to send​|
|501|特急|tokkyuu とっきゅう|Noun|limited express (train, faster than an express)|
|502|床屋|tokoya とこや|Noun|barber|
|503|特別|tokubetsu とくべつ|Noun|, Adjective, な-adjectivespecial; particular; extraordinary; exceptional|
|504|特に|tokuni とくに|Adverb|particularly; especially; in particular; expressly|
|505|泊まる|tomaru とまる|Verb, Godan verb, Intransitive verb|to stay at|
|506|止める|tomeru とめる|Verb, Ichidan verb, Transitive verb|to stop something|
|507|遠く|tooku とおく|Noun, Adverbial Noun|distant|
|508|通る|tooru とおる|Verb, Godan verb, Intransitive verb|to go through|
|509|取り替える|torikaeru とりかえる|Verb, Ichidan verb, Transitive verb|to exchange; to swap; to replace|
|510|到頭|toutou とうとう|Adverb|finally, after all|
|511|続ける|tsudzukeru つづける|Verb, Ichidan verb, Transitive verb|to continue; to keep up; to keep on|
|512|続く|tsudzuku つづく|Verb, Godan verb, Intransitive verb|to continue|
|513|都合|tsugou つごう|Noun|, Adverbconvenience|
|514|捕まえる|tsukamaeru つかまえる|Verb, Ichidan verb, Transitive verb|to catch|
|515|漬ける|tsukeru つける|Verb, Ichidan verb, Transitive verb|to soak; to pickle|
|516|月|tsuki つき|Noun|moon|
|517|付く|tsuku つく|Verb, Godan verb, Intransitive verb|to be attached|
|518|妻|tsuma つま|Noun|(humble) wife|
|519|連れる|tsureru つれる|Verb, Ichidan verb, Transitive verb|to take (someone) with one|
|520|釣る|tsuru つる|Verb, Godan verb, Transitive verb|to fish|
|521|伝える|tsutaeru つたえる|Verb, Ichidan verb, Transitive verb|to report; to tell|
|522|包む|tsutsumu つつむ|Verb, Godan verb, Transitive verb|to wrap|
|523|腕|ude うで|Noun|arm|
|524|植える|ueru うえる|Verb, Ichidan verb, Transitive verb|to plant; to grow|
|525|動く|ugoku うごく|Verb, Godan verb, Intransitive verb|to move|
|526|伺う|ukagau うかがう|Verb, Godan verb, Transitive verb|to visit|
|527|受ける|ukeru うける|Verb, Ichidan verb, Transitive verb|to take a lesson or test|
|528|受付|uketsuke うけつけ|Noun|reception (desk); information desk​|
|529|生まれ|umare うまれ|Noun|birth|
|530|運転手|untenshu うんてんしゅ|Noun|driver; chauffeur|
|531|裏|ura うら|Noun|reverse side|
|532|嬉しい|ureshii うれしい|Adjective, い-adjective|happy|
|533|売り場|uriba うりば|Noun|selling area|
|534|嘘|uso うそ|Noun|a lie|
|535|打つ|utsu うつ|Verb, Godan verb, Transitive verb|to hit|
|536|美しい|utsukushii うつくしい|Adjective, い-adjective|beautiful|
|537|移る|utsuru うつる|Verb, Godan verb, Intransitive verb|to move house or transfer|
|538|写す|utsusu うつす|Verb, Godan verb, Transitive verb|to copy or photograph|
|539|ワープロ|waapuro|Noun, Katakana|word processor|
|540|別れる|wakareru わかれる|Verb, Ichidan verb, Intransitive verb|to separate|
|541|沸かす|wakasu わかす|Verb, Godan verb, Transitive verb|to boil; to heat|
|542|沸く|waku わく|Verb, Godan verb, Intransitive verb|to boil|
|543|笑う|warau わらう|Verb, Godan verb, Intransitive verb|to laugh; to smile|
|544|割れる|wareru われる|Verb, Ichidan verb, Intransitive verb|to break|
|545|割合|wariai わりあい|Noun|rate; ratio|
|546|忘れ物|wasuremono わすれもの|Noun|lost article|
|547|焼ける|yakeru やける|Verb, Ichidan verb, Intransitive verb|to burn; to be roasted|
|548|焼く|yaku やく|Verb, Godan verb, Transitive verb|to bake; to grill|
|549|役に立つ|yakunitatsu やくにたつ|Verb, Godan verb|, Expressionto be helpful|
|550|約束|yakusoku やくそく|Noun, Suru verb|promise|
|551|止む|yamu やむ|Verb, Godan verb, Intransitive verb|to stop|
|552|やっぱり|yappari|Adverb|as I thought|
|553|優しい|yasashii やさしい|Adjective, い-adjective|kind|
|554|痩せる|yaseru やせる|Verb, Ichidan verb, Intransitive verb|to become thin|
|555|柔らかい|yawarakai やわらかい|Adjective, い-adjective|soft|
|556|汚れる|yogoreru よごれる|Verb, Ichidan verb, Intransitive verb|to get dirty|
|557|喜ぶ|yorokobu よろこぶ|Verb, Godan verb|to be delighted|
|558|寄る|yoru よる|Verb, Godan verb, Intransitive verb|to visit; to drop by|
|559|予習|yoshuu よしゅう|Noun, Verb, Suru verb|preparation for a lesson|
|560|予定|yotei よてい|Noun, Suru verb|plan|
|561|用|you よう|Noun, Suffix|business; task; errand; use; purpose|
|562|用意|youi ようい|Noun, Verb, Suru verb|preparation; arrangements; provision; getting ready|
|563|用事|youji ようじ|Noun|tasks; things to do; errand; business (to take care of)|
|564|予約|yoyaku よやく|Noun, Suru verb|reservation|
|565|湯|yu ゆ|Noun|hot water|
|566|指|yubi ゆび|Noun|finger|
|567|指輪|yubiwa ゆびわ|Noun|finger ring|
|568|夢|yume ゆめ|Noun|dream|
|569|揺れる|yureru ゆれる|Verb, Ichidan verb, Intransitive verb|to shake|
|570|残念|zannen ざんねん|Noun|, Adjective, な-adjectiveregrettable; unfortunate|
|571|全然|zenzen ぜんぜん|Adverb|not entirely (used in a negative sentence)|
