|#|Grammar Lesson|文法レッスン|Grammar Meaning|
|127|o towazu|を問わず（をとわず）|regardless of; irrespective of; no matter|
|128|o\~negau|お～願う（お～ねがう）|please do; could you please…; I ask of you to \~|
|129|omake ni|おまけに|to make matters worse; besides; what's more; in addition; on top of that​|
|130|osoraku|恐らく（おそらく）|perhaps; likely; probably; I dare say \~|
|131|osore ga aru|恐れがある（おそれがある）|it is feared that; to be in danger of; to be liable to \~|
|132|oyobi|及び（および）|and; as well as \~|
|133|roku ni\~nai|ろくに～ない|not well; not enough; improperly; insufficiently; unsatisfactorily​ \~|
|134|saiwai na koto ni|幸いなことに（さいわいなことに）|fortunately; luckily; thankfully \~|
|135|sei ka|せいか|perhaps because \~|
|136|sekkaku|せっかく|especially; (thank you for) troubling to, going to great pains for \~|
|137|semete|せめて|at least; at most \~|
|138|shidai|次第（しだい）|as soon as, dependent upon|
|139|shidai de|次第で（しだいで）|depending on; so \~|
|140|shidai ni|次第に（しだいに）|gradually (progress into a state); in sequence; in order|
|141|shikamo|しかも|moreover; furthermore; and yet; what's more \~|
|142|sono ue|その上（そのうえ）|besides; in addition; furthermore \~|
|143|sore na noni|それなのに|and yet; despite this; but even so \~|
|144|sore nara|それなら|if that's the case; if so \~|
|145|sore ni shitemo|それにしても|nevertheless; at any rate; even so; be that as it may \~|
|146|sou ieba|そう言えば（そういえば）|come to think of it; now that you mention it \~|
|147|sou suru to|そうすると|having done that; if that is done; if it is done in that way|
|148|sue ni|末に（すえに）|finally; after; following; at the end/ conclusion of \~|
|149|sukoshi mo\~nai|少しも～ない（すこしも～ない）|not one bit; not even a little \~|
|150|sukunaku tomo|少なくとも（すくなくとも）|at least \~|
|151|tadachi ni|直ちに（ただちに）|at once; immediately; directly; in person; automatically \~|
|152|tamae|たまえ|do\~; order somebody to do something|
|153|te bakari wa irarenai|てばかりはいられない|can't keep doing \~|
|154|te demo|てでも|even if I have to; by all means \~|
|155|te irai|て以来（ていらい）|since; henceforth \~|
|156|te ite wa|ていては|if one keeps doing \~|
|157|te koso|てこそ|now that; since (something happened)|
|158|te made|てまで|even; will go far so as to \~|
|159|te naranai|てならない|can't help but; dying to; extremely \~|
|160|te tamaranai|てたまらない|can't help but; dying to; extremely \~|
|161|te touzen da|て当然だ（てとうぜんだ）|natural; as a matter of course|
|162|tewa / dewa|ては / では|whenever; if; when\~; repetitive action|
|163|tewa irarenai|てはいられない|can't afford to; unable to \~|
|164|tewa naranai|てはならない|must not; cannot; should not \~|
|165|tewa\~tewa|ては～ては|repetitive situations/actions|
|166|to douji ni|と同時に（とどうじに）|at the same time as; while; simultaneously \~|
|167|to itta|といった|like; such as \~|
|168|to iu fuu ni|というふうに|in such a way that \~|
|169|to iu koto wa|ということは|that is to say; so that means; in other words \~|
|170|to iu mono da|というものだ|something like; something called \~|
|171|to iu mono dewa nai|というものではない|there is no guarantee that…; not necessarily \~|
|172|to kangaerareru|と考えられる（とかんがえられる）|one can think that; it is conceivable that; considered \~|
|173|toka (de)|とか（で）|I heard that \~|
|174|tokku ni|とっくに|long ago; already; a long time ago|
|175|tokoro datta|ところだった|was just about to do something; something almost happened|
|176|tokoro ni|ところに|at the time; just as I was \~|
|177|tokoro o miru to|ところを見ると（ところをみると）|judging from; seeing that \~|
|178|tomo|とも|even if; no matter (who, what, when, where, why, how); though \~|
|179|toshite\~nai|として～ない|not at all; there is not even one|
|180|toshitemo|としても|assuming; even if \~|
|181|tsutsu|つつ|while; even though; despite \~|
|182|tsutsu aru|つつある|to be doing; to be in the process of doing \~|
|183|ue wa|上は（うえは）|now that; since; as long as \~|
|184|wa moto yori|はもとより|also; let alone; from the beginning|
|185|wa tomokaku|はともかく|anyhow; anyway; regardless; in any case; whether or not \~|
|186|wazuka ni|わずかに|slightly; only; barely; narrowly \~|
|187|yagate|やがて|before long; soon; almost; eventually \~|
|188|yara\~yara|やら～やら|such things as A and B; A and B and so on \~|
|189|yohodo / yoppodo|よほど / よっぽど|very; greatly; much; to a large extent|
|191|yori hoka nai|よりほかない|to have no choice but \~|
|192|you dewa|ようでは|if \~ (bad result)|
|193|you dewa nai ka|ようではないか|let's do (something); why don't we \~|
|194|you ka\~mai ka|ようか～まいか|whether or not; considering options|
|195|you suru ni|要するに（ようするに）|in short; in a word; to sum up; to put it simply \~|
|196|zaru o enai|ざるを得ない（ざるをえない）|cannot help (doing); have no choice but to \~|
|197|zu ni sumu|ずに済む （ずにすむ）|get by without doing \~|
